particle_size,std_after_125_1_1_00,std_after_125_1_1_01,std_after_125_1_1_02,std_after_125_1_2_00,std_after_125_1_2_01,std_after_125_1_2_02,std_before_125_1_1_00,std_before_125_1_1_01,std_before_125_1_1_02,std_before_125_1_2_00,std_before_125_1_2_01,std_before_125_1_2_02
0.5,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0,0,0,0
9.5,0,0,0,0,0,0,0,0,0,0,0,0
10.5,0,0,0,0,0,0,0,0,0,0,0,0
11.5,0,0,0,0,0,0,0,0,0,0,0,0
12.5,0,0,0,0,0,0,0,0,0,0,0,0
13.5,0,0,0,0,0,0,0,0,0,0,0,0
14.5,0,0,0,0,0,0,0,0,0,0,0,0
15.5,0,0,0,0,0,0,0,0,0,0,0,0
16.5,0,0,0,0,0,0,0,0,0,0,0,0
17.5,0,0,0,0,0,0,0,0,0,0,0,0
18.5,0,0,0,0,0,0,0,0,0,0,0,0
19.5,0,0,0,0,0,0,0,0,0,0,0,0
20.5,0,0,0,0,0,0,0,0,0,0,0,0
21.5,0,0,0,0,0,0,0,0,0,0,0,0
22.5,0,0,0,0,0,0,0,0,0,0,0,0
23.5,0,0,0,0,0,0,0,0,0,0,0,0
24.5,0,0,0,0,0,0,0,0,0,0,0,0
25.5,0,0,0,0,0,0,0,0,0,0,0,0
26.5,0,0,0,0,0,0,0,0,0,0,0,0
27.5,0,0,0,0,0,0,0,0,0,0,0,0
28.5,0,0,0,0,0,0,0,0,0,0,0,0
29.5,0,0,0,0,0,0,0,0,0,0,0,0
30.5,0,0,0,0,0,0,0,0,0,0,0,0
31.5,0,0,0,0,0,0,0,0,0,0,0,0
32.5,0,0,0,0,0,0,0,0,0,0,0,0
33.5,0,0,0,0,0,0,0,0,0,0,0,0
34.5,0,0,0,0,0,0,0,0,0,0,0,0
35.5,0,0,0,0,0,0,0,0,0,0,0,0
36.5,0,0,0,0,0,0,0,0,0,0,0,0
37.5,0,0,0,0,0,0,0,0,0,0,0,0
38.5,0,0,0,0,0,0,0,0,0,0,0,0
39.5,0,0,0,0,0,0,0,0,0,0,0,0
40.5,0,0,0,0,0,0,0,0,0,0,0,0
41.5,0,0,0,0,0,0,0,0,0,0,0,0
42.5,0,0,0,0,0,0,0,0,2,0,0,0
43.5,0,0,0,0,0,0,0,0,10,0,0,0
44.5,0,0,0,0,0,0,0,0,48,0,0,0
45.5,0,0,0,0,0,0,0,0,182,0,0,0
46.5,0,0,0,0,0,119,0,0,575,0,0,0
47.5,0,0,0,0,0,4781,0,0,1496,0,0,0
48.5,0,0,0,0,0,54234,0,0,3242,0,0,0
49.5,0,0,0,0,0,198545,0,0,5914,0,0,0
50.5,0,0,0,0,0,271269,0,3,9206,0,0,0
51.5,0,0,1,0,0,162042,0,14,12418,0,0,0
52.5,0,0,3,0,0,50099,0,53,14770,0,0,0
53.5,0,0,5,0,0,9555,0,159,15776,0,0,0
54.5,0,0,10,0,0,1342,0,375,15429,0,0,0
55.5,0,0,19,0,0,165,0,714,14090,0,0,0
56.5,0,0,35,0,2,21,0,1123,12255,0,0,0
57.5,0,0,67,0,4,3,0,1503,10348,0,0,0
58.5,0,0,125,0,9,0,0,1765,8640,0,0,0
59.5,0,0,232,0,20,0,0,1878,7256,0,0,0
60.5,0,0,427,0,41,0,0,1872,6221,0,0,0
61.5,0,0,777,0,86,0,0,1806,5517,0,0,0
62.5,0,0,1400,0,178,0,0,1738,5112,0,0,0
63.5,0,0,2487,0,364,0,0,1718,4986,0,0,0
64.5,0,0,4352,0,731,0,0,1785,5144,0,0,2
65.5,0,0,7490,0,1439,0,0,1986,5621,0,0,6
66.5,0,0,12655,0,2769,0,0,2397,6497,0,0,16
67.5,0,0,20958,0,5196,1,0,3153,7919,0,0,41
68.5,0,0,33971,0,9489,3,0,4518,10119,2,0,107
69.5,0,0,53838,0,16835,10,0,7001,13467,4,0,270
70.5,0,0,83357,0,28989,30,1,11593,18527,11,0,672
71.5,2,0,126025,2,48432,84,5,20198,26143,28,0,1630
72.5,11,0,186022,7,78524,227,18,36386,37558,64,2,3838
73.5,59,0,268132,25,123635,587,64,66575,54570,146,12,8723
74.5,285,0,377579,85,189247,1440,231,121632,79730,322,60,19037
75.5,1201,2,519818,276,282016,3351,802,218566,116608,699,260,39714
76.5,4453,13,700276,842,409786,7431,2656,381509,170128,1491,1019,78919
77.5,14596,72,924087,2402,581553,15752,8289,640789,247018,3140,3564,149038
78.5,42496,365,1195828,6389,807362,32043,24127,1029120,356384,6524,11140,267187
79.5,110556,1631,1519274,15853,1098103,62770,65027,1575078,510452,13359,31168,454767
80.5,258709,6439,1897168,36760,1465168,118733,161510,2295699,725458,26914,78274,735772
81.5,548304,22439,2331004,79908,1919918,217251,368873,3191158,1022640,53208,177253,1133993
82.5,1059796,69131,2820813,163469,2472902,384842,774766,4243964,1429165,102880,364085,1669671
83.5,1880910,188690,3364938,315985,3132807,659901,1499391,5423111,1978705,193872,683137,2356430
84.5,3085366,457705,3959807,579381,3905129,1094326,2682480,6691299,2711155,354762,1180175,3199180
85.5,4707074,990774,4599717,1011058,4790631,1752266,4454985,8012287,3670832,628149,1893108,4193305
86.5,6718413,1923558,5276659,1683577,5783718,2703730,6900016,9355827,4902359,1072656,2843882,5324989
87.5,9021469,3369271,5980221,2679833,6870921,4011073,10013586,10699131,6443569,1761440,4034417,6572245
88.5,11457158,5359820,6697623,4081471,8029785,5708329,13677942,12025150,8315280,2774743,5447281,7906124
89.5,13830835,7800291,7413933,5949225,9228455,7776871,17657744,13318848,10508764,4184969,7049593,9291807
90.5,15947098,10466562,8112481,8296431,10426256,10125133,21623375,14562796,12973189,6035134,8797613,10689450
91.5,17643681,13055108,8775505,11061130,11575470,12582576,25198463,15733286,15606664,8315090,10639951,12054948
92.5,18815546,15264813,9384998,14086594,12624349,14916091,28022191,16797879,18255228,10943136,12518572,13340865
93.5,19424424,16874205,9923694,17122028,13521163,16869654,29812477,17715064,20723333,13761424,14368098,14497823
94.5,19494080,17784018,10376121,19851784,14218879,18217813,30414966,18436423,22796742,16550662,16114743,15476572
95.5,19095393,18016321,10729605,21951872,14679842,18815980,29825763,18911356,24274818,19063319,17676565,16230789
96.5,18326952,17681673,10975106,23160084,14879757,18630229,28182859,19093872,25005320,21067493,18966461,16720478
97.5,17296324,16934359,11107799,23337242,14810323,17737287,25730019,18950381,24912774,22389120,19898711,16915666
98.5,16105396,15932728,11127311,22497861,14480060,16297306,22764508,18466916,24012557,22940599,20398781,16799875
99.5,14841095,14813173,11037615,20799811,13913193,14511473,19583284,17654023,22406803,22728948,20414883,16372825
100.5,13571192,13678453,10846574,18498706,13146789,12579465,16440380,16547914,20263699,21843667,19928727,15651789
101.5,12344009,12596667,10565228,15885299,12226640,10668119,13522481,15207319,17786357,20430570,18962458,14671194
102.5,11190552,11606171,10206895,13227182,11202580,8895916,10943098,13706527,15179653,18660494,17579295,13480289
103.5,10127810,10722614,9786211,10729972,10123931,7331706,8750855,12126149,12622636,16701057,15876911,12139064
104.5,9162284,9945746,9318191,8522709,9035668,6002732,6945397,10543598,10251154,14696543,13974584,10712900
105.5,8293198,9264959,8817411,6663264,7975691,4906571,5494994,9025175,8151737,12757417,11996996,9266708
106.5,7515141,8663364,8297352,5155228,6973327,4022926,4351894,7621035,6364833,10958246,10058378,7859420
107.5,6820081,8120655,7769943,3967935,6049002,3323115,3463640,6363389,4893931,9341377,8250362,6539613
108.5,6198814,7615186,7245286,3054009,5214821,2776587,2780199,5267528,3717002,7923593,6635472,5342789
109.5,5641942,7125660,6731565,2361986,4475784,2354781,2257662,4334765,2797453,6703483,5246480,4290526
110.5,5140509,6632755,6235086,1843872,3831291,2032987,1859550,3556259,2092982,5668133,4090361,3391319
111.5,4686369,6120831,5760419,1458715,3276721,1790911,1556676,2916845,1561744,4798437,3154872,2642710
112.5,4272391,5579660,5310608,1173544,2804860,1612504,1326289,2398311,1166006,4072922,2415764,2034109
113.5,3892533,5005934,4887411,962855,2407110,1485452,1150954,1981853,873823,3470229,1843189,1549792
114.5,3541847,4404147,4491543,807467,2074404,1400547,1017436,1649680,659367,2970555,1406516,1171594
115.5,3216421,3786411,4122918,693237,1797865,1351061,915713,1385918,502467,2556349,1077427,881055
116.5,2913290,3170968,3780852,609879,1569224,1332181,838159,1176971,387785,2212531,831499,660909
117.5,2630317,2579432,3464251,549992,1381049,1340496,778886,1011536,303892,1926418,648710,495950
118.5,2366058,2033262,3171757,508296,1226843,1373518,733247,880408,242399,1687502,513243,373399
119.5,2119613,1550245,2901867,481048,1101049,1429221,697458,776197,197218,1487167,412961,282907
120.5,1890476,1141834,2653025,465622,998987,1505566,668327,693022,163969,1318390,338742,216340
121.5,1678390,811966,2423690,460189,916773,1599992,643083,626211,139516,1175473,283842,167457
122.5,1483215,557487,2212376,463486,851214,1708916,619285,572048,121627,1053791,243334,131568
123.5,1304814,369849,2017686,474632,799709,1827257,594813,527561,108723,949590,213649,105194
124.5,1142964,237432,1838325,492987,760153,1948105,567918,490350,99694,859811,192227,85793
125.5,997301,147814,1673106,518027,730847,2062644,537314,458468,93774,781950,177243,71521
126.5,867286,89491,1520953,549237,710421,2160460,502281,430323,90449,713945,167410,61052
127.5,752200,52872,1380890,586014,697770,2230345,462744,404628,89394,654086,161836,53440
128.5,651164,30607,1252033,627580,691987,2261558,419277,380357,90434,600945,159918,48016
129.5,563168,17440,1133584,672915,692321,2245431,373032,356734,93508,553321,161263,44313
130.5,487112,9831,1024813,720714,698120,2176980,325570,333223,98652,510197,165632,42017
131.5,421849,5512,925056,769381,708801,2056141,278633,309514,105982,470718,172892,40925
132.5,366229,3091,833698,817067,723803,1888247,233900,285515,115677,434162,182977,40926
133.5,319133,1745,750167,861761,742562,1683528,192770,261320,127964,399929,195851,41983
134.5,279507,997,673931,901414,764475,1455680,156222,237174,143095,367536,211473,44123
135.5,246376,580,604485,934110,788880,1219814,124764,213423,161313,336605,229760,47435
136.5,218865,346,541354,958231,815036,990278,98466,190459,182813,306868,250555,52069
137.5,196202,212,484087,972618,842111,778834,77046,168667,207686,278157,273596,58240
138.5,177719,135,432252,976681,869175,593553,59994,148385,235851,250402,298488,66227
139.5,162851,90,385440,970454,895212,438520,46679,129867,266987,223621,324692,76379
140.5,151134,62,343260,954569,919133,314257,36448,113274,300458,197902,351531,89113
141.5,142193,45,305340,930180,939809,218589,28689,98670,335261,173394,378205,104906
142.5,135743,35,271330,898823,956103,147677,22865,86034,370008,150274,403840,124282
143.5,131576,28,240896,862256,966931,96964,18535,75280,402955,128731,427540,147775
144.5,129563,24,213723,822304,971308,61910,15346,66275,432094,108938,448456,175888
145.5,129650,22,189518,780711,968411,38454,13028,58862,455322,91031,465858,209017
146.5,131855,21,168004,739036,957636,23241,11379,52879,470653,75097,479198,247363
147.5,136269,22,148925,698589,938643,13669,10256,48170,476470,61157,488148,290819
148.5,143059,24,132040,660396,911398,7823,9562,44600,471759,49174,492627,338851
149.5,152472,28,117130,625205,876184,4355,9236,42057,456290,39053,492795,390392
150.5,164832,34,103991,593506,833607,2357,9253,40463,430691,30650,489024,443758
151.5,180544,43,92436,565572,784563,1240,9616,39770,396415,23790,481851,496635
152.5,200086,59,82295,541491,730201,633,10360,39969,355571,18279,471924,546147
153.5,223991,84,73413,521213,671856,314,11559,41090,310671,13918,459944,589036
154.5,252821,124,65650,504574,610976,151,13330,43208,264334,10516,446613,621950
155.5,287103,190,58877,491325,549043,70,15845,46446,218990,7895,432587,641815
156.5,327257,303,52982,481149,487490,32,19353,50980,176651,5899,418450,646259
157.5,373469,496,47863,473670,427629,14,24198,57045,138764,4394,404690,633990
158.5,425536,830,43429,468461,370599,6,30845,64941,106172,3269,391694,605077
159.5,482683,1413,39599,465040,317315,2,39899,75027,79150,2432,379746,561046
160.5,543367,2434,36303,462879,268452,0,52122,87714,57512,1814,369028,504764
161.5,605107,4216,33479,461408,224439,0,68418,103441,40752,1359,359633,440103
162.5,664413,7299,31074,460022,185471,0,89779,122626,28172,1024,351567,371453
163.5,716863,12557,29040,458100,151537,0,117155,145601,19010,778,344755,303163
164.5,757405,21334,27338,455033,122453,0,151245,172502,12529,597,339048,239026
165.5,780925,35588,25934,450252,97906,0,192185,203137,8070,464,334222,181894
166.5,783028,57940,24800,443272,77489,0,239178,236846,5082,365,329979,133487
167.5,760932,91532,23912,433723,60743,0,290142,272366,3131,292,325950,94402
168.5,714263,139513,23252,421389,47190,0,341516,307759,1888,237,321698,64293
169.5,645502,204022,22806,406233,36358,0,388378,340451,1115,197,316725,42145
170.5,559889,284715,22563,388397,27803,0,425005,367422,645,166,310495,26577
171.5,464700,377168,22516,368202,21120,0,445875,385574,366,143,302460,16118
172.5,368035,471913,22662,346114,15953,0,446916,392228,204,126,292102,9398
173.5,277405,554997,22999,322703,11993,0,426663,385667,111,114,278992,5267
174.5,198521,610686,23530,298597,8985,0,386881,365588,60,106,262853,2838
175.5,134597,625955,24260,274422,6716,0,332376,333309,31,100,243621,1469
176.5,86292,595214,25196,250763,5015,0,269960,291651,16,97,221501,732
177.5,52230,523030,26346,228124,3746,0,206910,244477,8,97,196991,350
178.5,29805,423189,27723,206903,2804,0,149415,196011,4,100,170869,161
179.5,16020,314230,29338,187390,2106,0,101527,150111,2,104,144130,72
180.5,8104,213468,31203,169764,1590,0,64850,109690,0,112,117886,31
181.5,3857,132307,33332,154108,1209,0,38909,76415,0,124,93227,13
182.5,1727,74630,35736,140428,927,0,21918,50721,0,140,71087,5
183.5,728,38225,38426,128670,718,0,11589,32066,0,162,52123,2
184.5,289,17744,41408,118744,563,0,5752,19306,0,191,36655,0
185.5,108,7453,44686,110535,448,0,2680,11070,0,230,24662,0
186.5,38,2829,48258,103924,362,0,1173,6047,0,283,15838,0
187.5,13,969,52114,98795,298,0,482,3148,0,354,9688,0
