Duration,Condition,Tissue,Mouse,Slide,Region_no,PKH_count,DAPI_count,Exo_pos_percent
30,5ug,liver,4,1,1,1,1568,0.06377551
30,5ug,liver,4,1,2,1,1206,0.08291874
30,5ug,liver,4,1,3,1,721,0.138696255
30,5ug,liver,4,1,4,1,1081,0.092506938
30,5ug,liver,4,1,5,1,1276,0.078369906
30,5ug,liver,4,2,1,1,1430,0.06993007
30,5ug,liver,4,2,2,1,1491,0.067069081
30,5ug,liver,4,2,3,1,1251,0.079936051
30,5ug,liver,4,2,4,1,958,0.104384134
30,5ug,liver,4,2,5,1,737,0.13568521
30,5ug,liver,4,3,1,1,1760,0.056818182
30,5ug,liver,4,3,2,1,2078,0.048123195
30,5ug,liver,4,3,3,1,2082,0.04803074
30,5ug,liver,4,3,4,1,1843,0.05425936
30,5ug,liver,4,3,5,1,1529,0.065402224
30,5ug,liver,2,1,1,1,1465,0.068259386
30,5ug,liver,2,1,2,1,1271,0.078678206
30,5ug,liver,2,1,3,1,2023,0.049431537
30,5ug,liver,2,1,4,1,1667,0.059988002
30,5ug,liver,2,1,5,1,1260,0.079365079
30,5ug,liver,2,2,1,2,1944,0.102880658
30,5ug,liver,2,2,2,2,1027,0.194741967
30,5ug,liver,2,2,3,1,1836,0.054466231
30,5ug,liver,2,2,4,1,1595,0.062695925
30,5ug,liver,2,2,5,1,1735,0.057636888
30,5ug,liver,2,3,1,4,1942,0.205973223
30,5ug,liver,2,3,2,1,1280,0.078125
30,5ug,liver,2,3,3,1,1734,0.057670127
30,5ug,liver,2,3,4,1,1634,0.06119951
30,5ug,liver,2,3,5,1,1894,0.05279831
30,5ug,liver,3,1,1,2,1620,0.12345679
30,5ug,liver,3,1,2,1,1685,0.059347181
30,5ug,liver,3,1,3,1,1403,0.071275837
30,5ug,liver,3,1,4,2,395,0.506329114
30,5ug,liver,3,1,5,1,1767,0.056593096
30,5ug,liver,3,2,1,2,1559,0.128287364
30,5ug,liver,3,2,2,1,1637,0.061087355
30,5ug,liver,3,2,3,2,1781,0.112296463
30,5ug,liver,3,2,4,1,2035,0.049140049
30,5ug,liver,3,2,5,1,723,0.138312586
30,5ug,liver,3,3,1,1,1836,0.054466231
30,5ug,liver,3,3,2,1,1462,0.068399453
30,5ug,liver,3,3,3,1,905,0.110497238
30,5ug,liver,3,3,4,1,2062,0.048496605
30,5ug,liver,3,3,5,2,1876,0.106609808
30,5ug,lung,2,1,1,1,1463,0.0683527
30,5ug,lung,2,1,2,1,1293,0.07733952
30,5ug,lung,2,1,3,1,1171,0.085397096
30,5ug,lung,2,1,4,1,1023,0.097751711
30,5ug,lung,2,1,5,1,1325,0.075471698
30,5ug,lung,2,2,1,1,1745,0.05730659
30,5ug,lung,2,2,2,1,1547,0.064641241
30,5ug,lung,2,2,3,1,1620,0.061728395
30,5ug,lung,2,2,4,1,1606,0.062266501
30,5ug,lung,2,2,5,1,2122,0.047125353
30,5ug,lung,2,3,1,2,1309,0.152788388
30,5ug,lung,2,3,2,1,1556,0.064267352
30,5ug,lung,2,3,3,2,1491,0.134138162
30,5ug,lung,2,3,4,1,1595,0.062695925
30,5ug,lung,2,3,5,2,1448,0.138121547
30,5ug,lung,3,1,1,4,1493,0.267916946
30,5ug,lung,3,1,2,1,1289,0.077579519
30,5ug,lung,3,1,3,3,1037,0.289296046
30,5ug,lung,3,1,4,1,1366,0.073206442
30,5ug,lung,3,1,5,1,1413,0.070771408
30,5ug,lung,3,2,1,1,1314,0.076103501
30,5ug,lung,3,2,2,1,1134,0.088183422
30,5ug,lung,3,2,3,1,1277,0.078308536
30,5ug,lung,3,2,4,1,1251,0.079936051
30,5ug,lung,3,2,5,1,1225,0.081632653
30,5ug,lung,3,3,1,4,1092,0.366300366
30,5ug,lung,3,3,2,2,941,0.212539851
30,5ug,lung,3,3,3,3,1314,0.228310502
30,5ug,lung,3,3,4,5,758,0.659630607
30,5ug,lung,3,3,5,2,951,0.210304942
30,5ug,lung,4,1,1,1,1394,0.071736011
30,5ug,lung,4,1,2,1,1404,0.071225071
30,5ug,lung,4,1,3,1,1772,0.056433409
30,5ug,lung,4,1,4,1,772,0.129533679
30,5ug,lung,4,1,5,1,1369,0.073046019
30,5ug,lung,4,2,1,1,918,0.108932462
30,5ug,lung,4,2,2,1,1554,0.064350064
30,5ug,lung,4,2,3,1,966,0.103519669
30,5ug,lung,4,2,4,1,1509,0.066269052
30,5ug,lung,4,2,5,1,1436,0.069637883
30,5ug,lung,4,3,1,1,1728,0.05787037
30,5ug,lung,4,3,2,1,1481,0.067521945
30,5ug,lung,4,3,3,1,1702,0.058754407
30,5ug,lung,4,3,4,1,1584,0.063131313
30,5ug,lung,4,3,5,1,2078,0.048123195
30,dye,liver,1,1,1,0,1124,0
30,dye,liver,1,1,2,1,1671,0.059844405
30,dye,liver,1,1,3,0,1438,0
30,dye,liver,1,1,4,0,1184,0
30,dye,liver,1,1,5,0,1443,0
30,dye,liver,1,2,1,0,1422,0
30,dye,liver,1,2,2,1,1265,0.079051383
30,dye,liver,1,2,3,0,1509,0
30,dye,liver,1,2,4,0,1216,0
30,dye,liver,1,2,5,0,879,0
30,dye,liver,1,3,1,0,1976,0
30,dye,liver,1,3,2,0,1890,0
30,dye,liver,1,3,3,0,1809,0
30,dye,liver,1,3,4,0,2027,0
30,dye,liver,1,3,5,1,1975,0.050632911
30,dye,lung,1,1,1,0,1612,0
30,dye,lung,1,1,2,2,2059,0.097134531
30,dye,lung,1,1,3,0,1252,0
30,dye,lung,1,1,4,0,1151,0
30,dye,lung,1,1,5,0,1290,0
30,dye,lung,1,2,1,0,1711,0
30,dye,lung,1,2,2,0,1488,0
30,dye,lung,1,2,3,0,1361,0
30,dye,lung,1,2,4,0,1485,0
30,dye,lung,1,2,5,0,1259,0
30,dye,lung,1,3,1,0,1749,0
30,dye,lung,1,3,2,0,1473,0
30,dye,lung,1,3,3,0,1708,0
30,dye,lung,1,3,4,0,1327,0
30,dye,lung,1,3,5,0,1500,0